date,datetime,Visites_by_hour
01/03/2014,01/03/2014 09,9
01/03/2014,01/03/2014 09,9
01/03/2014,01/03/2014 09,12
01/03/2014,01/03/2014 09,9
01/03/2014,01/03/2014 09,13
01/03/2014,01/03/2014 09,23
01/03/2014,01/03/2014 09,8
01/03/2014,01/03/2014 09,19
01/03/2014,01/03/2014 09,10
01/03/2014,01/03/2014 09,20
01/03/2014,01/03/2014 09,13
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,8
01/03/2014,01/03/2014 09,13
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,11
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,13
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,12
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,17
01/03/2014,01/03/2014 09,21
01/03/2014,01/03/2014 09,19
01/03/2014,01/03/2014 09,11
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,9
01/03/2014,01/03/2014 09,16
01/03/2014,01/03/2014 09,11
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,17
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,11
01/03/2014,01/03/2014 09,16
01/03/2014,01/03/2014 09,18
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,11
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,18
01/03/2014,01/03/2014 09,15
01/03/2014,01/03/2014 09,12
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 09,12
01/03/2014,01/03/2014 09,12
01/03/2014,01/03/2014 09,12
01/03/2014,01/03/2014 09,14
01/03/2014,01/03/2014 10,16
01/03/2014,01/03/2014 10,5
01/03/2014,01/03/2014 10,11
01/03/2014,01/03/2014 10,13
01/03/2014,01/03/2014 10,12
01/03/2014,01/03/2014 10,13
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,15
01/03/2014,01/03/2014 10,16
01/03/2014,01/03/2014 10,10
01/03/2014,01/03/2014 10,8
