"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month","TAv_TAp","TAv","DAYPART","weekday_weekend"
2014-01-23,82,252,"Teva",12,0.06,223.56,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,114,2030,"M6",12,1.19,874.8,20,"4","03","01",1,"ACB","DAY","WD"
2014-01-23,584,1134,"M6",12,1.31,831.06,20,"4","03","01",0,"EBJ","DAY","WD"
2014-01-23,158,413,"Teva",13,0.08,251.1,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,152,229,"ParisPremiere",13,0.23,56.7,20,"4","03","01",0,"ACA","DAY","WD"
2014-01-23,146,491,"Teva",13,0.08,294,30,"4","03","01",1,"AC","DAY","WD"
2014-01-23,242,310,"Teva",14,0.07,106.92,20,"4","03","01",0,"AC","DAY","WD"
2014-01-23,184,170,"ParisPremiere",14,0.35,69.66,20,"4","03","01",1,"ACA","DAY","WD"
2014-01-23,958,1905,"M6",14,3.8,1620,30,"4","03","01",1,"ABF","DAY","WD"
2014-01-23,152,175,"ParisPremiere",15,0.33,72.9,20,"4","03","01",1,"ACA","DAY","WD"
2014-01-23,176,177,"SerieClub",15,0.11,38.8,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,250,3876,"M6",17,3.92,1224,30,"4","03","01",1,"CBB","DAY","WD"
2014-01-23,176,148,"SerieClub",17,0.14,50.2,20,"4","03","01",1,"AC","DAY","WD"
2014-01-23,1586,3387,"M6",17,3.22,1350,30,"4","03","01",1,"CBB","DAY","WD"
2014-01-23,576,482,"SerieClub",17,0.2,78,30,"4","03","01",1,"AC","DAY","WD"
2014-01-23,256,2414,"M6",18,2.51,1385.1,20,"4","03","01",1,"CBA","DAY","WD"
2014-01-23,374,487,"Teva",18,0.01,140,30,"4","03","01",1,"AC","ACCESS","WD"
2014-01-23,246,270,"SerieClub",18,0.09,68,30,"4","03","01",1,"AC","ACCESS","WD"
2014-01-23,170,194,"ParisPremiere",19,0.19,114,30,"4","03","01",1,"ACC","ACCESS","WD"
2014-01-23,234,2667,"M6",19,5.75,2700,30,"4","03","01",1,"DDB","ACCESS","WD"
2014-01-23,284,260,"SerieClub",19,0.09,66,30,"4","03","01",1,"AC","ACCESS","WD"
2014-01-23,188,262,"ParisPremiere",20,0.1,180,30,"4","03","01",1,"ACB","ACCESS","WD"
2014-01-23,546,4438,"M6",20,9.91,9000,30,"4","03","01",1,"ACB","PEAK","WD"
2014-01-23,232,4388,"M6",21,9.13,9720,30,"4","03","01",1,"ACA","PEAK","WD"
2014-01-23,240,465,"Teva",22,0.22,380.7,20,"4","03","01",1,"AA","PEAK","WD"
2014-01-24,44,44,"ParisPremiere",7,0,4.86,20,"5","03","01",1,"EBL","NIGHT","WD"
2014-01-24,74,128,"SerieClub",8,0.03,17.8,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,104,119,"SerieClub",9,0.03,14.6,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,378,587,"M6",10,0.37,174.96,20,"5","03","01",1,"CBB","DAY","WD"
2014-01-24,130,131,"SerieClub",11,0.06,11.4,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,134,224,"Teva",12,0.03,239.76,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,134,1511,"M6",12,1.29,1080,30,"5","03","01",1,"ACB","DAY","WD"
2014-01-24,566,1053,"M6",12,1.02,801.9,20,"5","03","01",0,"ACB","DAY","WD"
2014-01-24,154,408,"Teva",13,0.04,342,30,"5","03","01",1,"AC","DAY","WD"
2014-01-24,206,501,"Teva",13,0.04,255.96,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,232,210,"SerieClub",13,0.1,28,30,"5","03","01",1,"AC","DAY","WD"
2014-01-24,196,291,"Teva",13,0.05,115.02,20,"5","03","01",0,"AC","DAY","WD"
2014-01-24,270,196,"ParisPremiere",14,0.31,58.32,20,"5","03","01",1,"ACA","DAY","WD"
2014-01-24,222,1594,"M6",14,3.65,1620,30,"5","03","01",1,"ABF","DAY","WD"
2014-01-24,210,211,"SerieClub",14,0.1,22.6,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,808,1977,"M6",14,3.25,1620,30,"5","03","01",1,"ABF","DAY","WD"
2014-01-24,236,254,"ParisPremiere",15,0.3,53.46,20,"5","03","01",1,"ACA","DAY","WD"
2014-01-24,178,310,"Teva",15,0.05,113.4,20,"5","03","01",1,"AB","DAY","WD"
2014-01-24,200,177,"SerieClub",15,0.14,24.4,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,200,943,"M6",15,2.02,845.64,20,"5","03","01",0,"EBD","DAY","WD"
2014-01-24,292,225,"SerieClub",15,0.13,26,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,212,2665,"M6",17,2.78,991.44,20,"5","03","01",1,"CBB","DAY","WD"
2014-01-24,160,437,"SerieClub",17,0.11,51.8,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,186,408,"Teva",17,0.01,144,30,"5","03","01",1,"AC","DAY","WD"
2014-01-24,250,227,"SerieClub",17,0.12,56.8,20,"5","03","01",1,"AC","DAY","WD"
2014-01-24,302,432,"Teva",18,0.02,142,30,"5","03","01",1,"AC","DAY","WD"
2014-01-24,1414,1638,"M6",18,4.95,1676.7,20,"5","03","01",1,"CBA","ACCESS","WD"
2014-01-24,220,211,"ParisPremiere",19,0.14,114,30,"5","03","01",1,"ACC","ACCESS","WD"
2014-01-24,562,2365,"M6",19,4.49,2700,30,"5","03","01",1,"DDB","ACCESS","WD"
2014-01-24,184,225,"ParisPremiere",20,0.05,124,30,"5","03","01",1,"ACB","ACCESS","WD"
2014-01-24,1204,2518,"M6",20,9.9,6123.6,20,"5","03","01",0,"DAA","PEAK","WD"
2014-01-24,244,251,"SerieClub",20,0.05,60,20,"5","03","01",1,"AC","PEAK","WD"
2014-01-24,246,243,"ParisPremiere",20,0.25,112,30,"5","03","01",0,"EBK","PEAK","WD"
2014-01-24,2070,2942,"M6",20,10.54,9540,30,"5","03","01",0,"EBJ","PEAK","WD"
2014-01-24,318,586,"Teva",21,0.17,224,30,"5","03","01",1,"EA","PEAK","WD"
2014-01-24,136,196,"ParisPremiere",22,0.33,119.88,20,"5","03","01",0,"CC","PEAK","WD"
2014-01-24,112,138,"ParisPremiere",23,0.31,102.06,20,"5","03","01",1,"CD","NIGHT","WD"
2014-01-25,48,48,"Teva",7,0.02,4.86,20,"6","03","01",0,"AB","NIGHT","WE"
2014-01-25,50,75,"ParisPremiere",7,0,4.86,20,"6","03","01",1,"EBL","DAY","WE"
2014-01-25,54,74,"ParisPremiere",8,0,4.86,20,"6","03","01",0,"EBL","DAY","WE"
2014-01-25,102,116,"SerieClub",9,0.08,24,30,"6","03","01",0,"AB","DAY","WE"
2014-01-25,132,119,"SerieClub",9,0.1,28,30,"6","03","01",1,"AC","DAY","WE"
2014-01-25,174,165,"SerieClub",10,0.09,40,30,"6","03","01",1,"AC","DAY","WE"
2014-01-25,140,635,"M6",11,0.65,408.24,20,"6","03","01",1,"EBL","DAY","WE"
2014-01-25,224,147,"SerieClub",12,0.05,28,30,"6","03","01",1,"AC","DAY","WE"
2014-01-25,742,515,"M6",12,0.75,758.16,20,"6","03","01",0,"EBL","DAY","WE"
2014-01-25,162,169,"SerieClub",13,0.03,21,20,"6","03","01",1,"AC","DAY","WE"
2014-01-25,158,203,"Teva",13,0.1,106.92,20,"6","03","01",1,"E","DAY","WE"
2014-01-25,184,190,"Teva",15,0.1,129.6,20,"6","03","01",1,"EA","DAY","WE"
2014-01-25,182,135,"SerieClub",16,0.02,48.6,20,"6","03","01",1,"AC","DAY","WE"
2014-01-25,170,1468,"M6",16,3.19,1458,20,"6","03","01",1,"EAJ","DAY","WE"
2014-01-25,450,236,"SerieClub",17,0.07,40.6,20,"6","03","01",1,"AC","DAY","WE"
2014-01-25,182,179,"SerieClub",18,0.08,58.4,20,"6","03","01",1,"AC","DAY","WE"
2014-01-25,194,1538,"M6",18,3.12,1800,30,"6","03","01",0,"DDB","ACCESS","WE"
2014-01-25,290,295,"SerieClub",20,0.07,96,30,"6","03","01",1,"AC","ACCESS","WE"
2014-01-25,140,231,"Teva",21,0.2,232,30,"6","03","01",1,"EB","PEAK","WE"
2014-01-25,110,228,"Teva",22,0.19,242,30,"6","03","01",1,"EB","PEAK","WE"
2014-01-25,806,1684,"M6",22,5.7,4320,30,"6","03","01",1,"ACA","NIGHT","WE"
2014-01-25,190,198,"ParisPremiere",22,0.15,202,30,"6","03","01",1,"AE","NIGHT","WE"
2014-01-25,144,1475,"M6",22,5.58,4320,30,"6","03","01",1,"ACA","NIGHT","WE"
2014-01-25,304,602,"M6",24,2.6,1260,30,"6","03","01",1,"ACA","NIGHT","WE"
2014-01-26,14,16,"ParisPremiere",7,0,6,30,"0","03","01",0,"EBL","NIGHT","WE"
2014-01-26,68,72,"M6",8,0.01,36,30,"0","03","01",1,"CBA","DAY","WE"
2014-01-26,118,145,"SerieClub",10,0.06,27.6,20,"0","03","01",1,"AC","DAY","WE"
2014-01-26,128,136,"Teva",12,0.07,108.54,20,"0","03","01",1,"AC","DAY","WE"
2014-01-26,90,110,"SerieClub",12,0.04,21,20,"0","03","01",1,"AC","DAY","WE"
2014-01-26,180,291,"Teva",13,0.11,106.92,20,"0","03","01",1,"AC","DAY","WE"
2014-01-26,186,170,"ParisPremiere",14,0.25,149.04,20,"0","03","01",1,"EAJ","DAY","WE"
2014-01-26,146,294,"Teva",15,0.1,129.6,20,"0","03","01",1,"AC","DAY","WE"
2014-01-26,152,209,"SerieClub",15,0.03,27.6,20,"0","03","01",1,"AC","DAY","WE"
2014-01-26,124,299,"Teva",15,0.07,79.38,20,"0","03","01",0,"AC","DAY","WE"
2014-01-26,150,152,"SerieClub",16,0.03,29.2,20,"0","03","01",1,"AC","DAY","WE"
2014-01-26,280,2546,"M6",17,5.11,2624.4,20,"0","03","01",1,"DDB","DAY","WE"
2014-01-26,486,354,"ParisPremiere",17,0.37,110.16,20,"0","03","01",1,"EAJ","DAY","WE"
2014-01-26,298,3490,"M6",18,6.24,2916,20,"0","03","01",0,"DDB","DAY","WE"
2014-01-26,188,223,"SerieClub",19,0.09,120,30,"0","03","01",1,"AC","ACCESS","WE"
2014-01-26,2168,3664,"M6",19,6.08,3780,30,"0","03","01",1,"DDB","ACCESS","WE"
2014-01-26,1056,537,"SerieClub",19,0.13,132,30,"0","03","01",1,"AC","ACCESS","WE"
2014-01-26,282,431,"ParisPremiere",20,0.24,208,30,"0","03","01",1,"ACB","ACCESS","WE"
2014-01-26,322,318,"SerieClub",20,0.14,144,30,"0","03","01",1,"AC","PEAK","WE"
2014-01-26,316,378,"ParisPremiere",20,0.18,97.2,20,"0","03","01",0,"ACB","PEAK","WE"
2014-01-26,286,292,"SerieClub",20,0.1,122,30,"0","03","01",1,"AC","PEAK","WE"
2014-01-26,206,215,"SerieClub",21,0.05,98,30,"0","03","01",1,"AC","PEAK","WE"
2014-01-26,1716,2826,"M6",21,4.79,4957.2,20,"0","03","01",1,"DDB","PEAK","WE"
2014-01-26,206,873,"Teva",22,0.38,196.02,20,"0","03","01",1,"AC","PEAK","WE"
2014-01-26,88,108,"ParisPremiere",23,0.15,76.14,20,"0","03","01",1,"ACA","NIGHT","WE"
2014-01-27,34,37,"ParisPremiere",7,0.01,4.86,20,"1","04","01",1,"EAK","NIGHT","WD"
2014-01-27,26,50,"ParisPremiere",7,0.01,4.86,20,"1","04","01",0,"J","DAY","WD"
2014-01-27,74,65,"Teva",8,0.05,24.3,20,"1","04","01",0,"IH","DAY","WD"
2014-01-27,96,107,"SerieClub",9,0.02,16.2,20,"1","04","01",1,"AB","DAY","WD"
2014-01-27,100,105,"SerieClub",9,0.05,27.6,20,"1","04","01",1,"AB","DAY","WD"
2014-01-27,208,554,"M6",10,0.39,174.96,20,"1","04","01",1,"CBB","DAY","WD"
2014-01-27,134,147,"SerieClub",11,0.07,16.2,20,"1","04","01",1,"AB","DAY","WD"
2014-01-27,132,1096,"M6",11,0.21,379.08,20,"1","04","01",1,"ACB","DAY","WD"
2014-01-27,166,153,"Teva",11,0.04,144.18,20,"1","04","01",0,"AB","DAY","WD"
2014-01-27,140,113,"SerieClub",11,0.07,16.2,20,"1","04","01",0,"AB","DAY","WD"
2014-01-27,98,233,"Teva",12,0.05,213.84,20,"1","04","01",1,"AC","DAY","WD"
2014-01-27,336,1360,"M6",12,1.53,874.8,20,"1","04","01",1,"ACB","DAY","WD"
2014-01-27,122,364,"Teva",12,0.08,244.62,20,"1","04","01",1,"AC","DAY","WD"
2014-01-27,152,157,"ParisPremiere",13,0.05,22.68,20,"1","04","01",1,"ACA","DAY","WD"
2014-01-27,150,1603,"M6",13,2.81,1312.2,20,"1","04","01",1,"ACB","DAY","WD"
